TF0000515	FBtr0085558	SRY-DELTA_FLY	GS0001005	FBgn0000166	-	-	-	Drosophila melanogaster	ORegAnno	9154812	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001065	ENSG00000126218	13	113777128	113803843	Homo sapiens	ORegAnno	11159521	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001068	ENSG00000131482	17	41052815	41065386	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001068	ENSG00000131482	17	41052815	41065386	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001076	ENSG00000136872	9	104182860	104198105	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001103	ENSG00000167910	8	59402737	59412795	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001114	ENSG00000180432	3	42897497	42917633	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001118	ENSG00000198610	10	5237426	5260912	Homo sapiens	ORegAnno	12220531	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001227	ENSG00000160868	7	99354604	99381888	Homo sapiens	ORegAnno	14742674	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001227	ENSG00000160868	7	99354604	99381888	Homo sapiens	ORegAnno	14742674	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001227	ENSG00000160868	7	99354604	99381888	Homo sapiens	ORegAnno	14742674	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001227	ENSG00000160868	7	99354604	99381888	Homo sapiens	ORegAnno	14742674	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001227	ENSG00000160868	7	99354604	99381888	Homo sapiens	ORegAnno	14742674	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001227	ENSG00000160868	7	99354604	99381888	Homo sapiens	ORegAnno	14742674	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001065	ENSG00000126218	13	113777128	113803843	Homo sapiens	ORegAnno	8567696	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001275	ENSG00000118137	11	116706467	116708666	Homo sapiens	ORegAnno	8626539	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001275	ENSG00000118137	11	116706467	116708666	Homo sapiens	ORegAnno	8626539	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001279	ENSG00000110244	11	116691419	116694022	Homo sapiens	ORegAnno	15583007	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001279	ENSG00000110244	11	116691419	116694022	Homo sapiens	ORegAnno	15583007	UNKNOWN::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001280	ENSG00000110245	11	116700422	116703788	Homo sapiens	ORegAnno	7984419	UNKNOWN::UNKNOWN
TF0000547	ENST00000254325	RFX1_HUMAN	GS0001069	ENSG00000132646	20	5095599	5107272	Homo sapiens	ORegAnno	10336433	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000548	ENST00000327443	ENSG00000185591_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000548	ENST00000327443	ENSG00000185591_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	RNA EXPRESSION ASSAY::NORTHERN BLOT
TF0000549	ENST00000319516	TFAP2A_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000549	ENST00000319516	TFAP2A_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	RNA EXPRESSION ASSAY::NORTHERN BLOT
TF0000549	ENST00000319516	TFAP2A_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000549	ENST00000319516	TFAP2A_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	RNA EXPRESSION ASSAY::NORTHERN BLOT
TF0000550	ENST00000361099	STAT1_HUMAN	GS0001074	ENSG00000136634	1	206940947	206945839	Homo sapiens	ORegAnno	12817009	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000550	ENST00000361099	STAT1_HUMAN	GS0001074	ENSG00000136634	1	206940947	206945839	Homo sapiens	ORegAnno	12817009	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000550	ENST00000361099	STAT1_HUMAN	GS0001074	ENSG00000136634	1	206940947	206945839	Homo sapiens	ORegAnno	12817009	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000550	ENST00000361099	STAT1_HUMAN	GS0001074	ENSG00000136634	1	206940947	206945839	Homo sapiens	ORegAnno	12817009	MUTAGENESIS::OLIGONUCLEOTIDE SYNTHESIS
TF0000551	ENST00000265354	SRF_HUMAN	GS0001078	ENSG00000143632	1	229566992	229569845	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000551	ENST00000265354	SRF_HUMAN	GS0001090	ENSG00000159251	15	35080296	35087927	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000551	ENST00000265354	SRF_HUMAN	GS0001115	ENSG00000197616	14	23851049	23877486	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000551	ENST00000265354	SRF_HUMAN	GS0001341	ENSG00000075624	7	5566782	5603415	Homo sapiens	ORegAnno	1762920	REPORTER GENE ASSAY::RABBIT BETA-GLOBIN EXPRESSION ASSAY
TF0000551	ENST00000265354	SRF_HUMAN	GS0001341	ENSG00000075624	7	5566782	5603415	Homo sapiens	ORegAnno	1762920	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000551	ENST00000265354	SRF_HUMAN	GS0001341	ENSG00000075624	7	5566782	5603415	Homo sapiens	ORegAnno	1762920	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000551	ENST00000265354	SRF_HUMAN	GS0001341	ENSG00000075624	7	5566782	5603415	Homo sapiens	ORegAnno	1762920	REPORTER GENE ASSAY::RABBIT BETA-GLOBIN EXPRESSION ASSAY
TF0000551	ENST00000265354	SRF_HUMAN	GS0001341	ENSG00000075624	7	5566782	5603415	Homo sapiens	ORegAnno	1762920	REPORTER GENE ASSAY::RABBIT BETA-GLOBIN EXPRESSION ASSAY
TF0000552	ENST00000264637	THRA_HUMAN	GS0001080	ENSG00000146648	7	55086714	55324313	Homo sapiens	ORegAnno	8393457	PROTEIN BINDING ASSAY::METHYLATION INTERFERENCE ASSAY
TF0000552	ENST00000264637	THRA_HUMAN	GS0001080	ENSG00000146648	7	55086714	55324313	Homo sapiens	ORegAnno	8393457	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000552	ENST00000264637	THRA_HUMAN	GS0001080	ENSG00000146648	7	55086714	55324313	Homo sapiens	ORegAnno	8393457	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000552	ENST00000264637	THRA_HUMAN	GS0001080	ENSG00000146648	7	55086714	55324313	Homo sapiens	ORegAnno	8393457	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000552	ENST00000264637	THRA_HUMAN	GS0001080	ENSG00000146648	7	55086714	55324313	Homo sapiens	ORegAnno	8393457	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000553	ENST00000229022	VDR_HUMAN	GS0001082	ENSG00000146674	7	45951850	45961473	Homo sapiens	ORegAnno	14963110	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000553	ENST00000229022	VDR_HUMAN	GS0001082	ENSG00000146674	7	45951850	45961473	Homo sapiens	ORegAnno	14963110	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000553	ENST00000229022	VDR_HUMAN	GS0001082	ENSG00000146674	7	45951850	45961473	Homo sapiens	ORegAnno	14963110	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000554	ENST00000281701	NVL_HUMAN	GS0001088	ENSG00000159173	1	201372896	201398994	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000555	ENST00000250003	MYOD1_HUMAN	GS0001090	ENSG00000159251	15	35080296	35087927	Homo sapiens	ORegAnno	2123467	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000555	ENST00000250003	MYOD1_HUMAN	GS0001090	ENSG00000159251	15	35080296	35087927	Homo sapiens	ORegAnno	2123467	UNKNOWN::UNKNOWN
TF0000556	ENST00000219782	MAZ_HUMAN	GS0001093	ENSG00000160801	3	46919236	46951581	Homo sapiens	ORegAnno	14765995	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000556	ENST00000219782	MAZ_HUMAN	GS0001093	ENSG00000160801	3	46919236	46951581	Homo sapiens	ORegAnno	14765995	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000556	ENST00000219782	MAZ_HUMAN	GS0001093	ENSG00000160801	3	46919236	46951581	Homo sapiens	ORegAnno	14765995	RNA EXPRESSION ASSAY::RNASE PROTECTION ASSAY (RPA)
TF0000557	ENST00000322510	KLF6_HUMAN	GS0001095	ENSG00000161021	5	179159851	179223512	Homo sapiens	ORegAnno	10722737	MUTAGENESIS::SITE-DIRECTED
TF0000557	ENST00000322510	KLF6_HUMAN	GS0001095	ENSG00000161021	5	179159851	179223512	Homo sapiens	ORegAnno	10722737	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000558	ENST00000259523	MYC_HUMAN	GS0001099	ENSG00000165392	8	30891317	31031285	Homo sapiens	ORegAnno	12842909	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000558	ENST00000259523	MYC_HUMAN	GS0001099	ENSG00000165392	8	30891317	31031285	Homo sapiens	ORegAnno	12842909	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000558	ENST00000259523	MYC_HUMAN	GS0001099	ENSG00000165392	8	30891317	31031285	Homo sapiens	ORegAnno	12842909	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000558	ENST00000259523	MYC_HUMAN	GS0001099	ENSG00000165392	8	30891317	31031285	Homo sapiens	ORegAnno	12842909	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000558	ENST00000259523	MYC_HUMAN	GS0001099	ENSG00000165392	8	30891317	31031285	Homo sapiens	ORegAnno	12842909	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000558	ENST00000259523	MYC_HUMAN	GS0001099	ENSG00000165392	8	30891317	31031285	Homo sapiens	ORegAnno	12842909	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000558	ENST00000259523	MYC_HUMAN	GS0001101	ENSG00000165672	10	120927215	120938345	Homo sapiens	ORegAnno	12011429	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000558	ENST00000259523	MYC_HUMAN	GS0001101	ENSG00000165672	10	120927215	120938345	Homo sapiens	ORegAnno	12011429	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000558	ENST00000259523	MYC_HUMAN	GS0001101	ENSG00000165672	10	120927215	120938345	Homo sapiens	ORegAnno	12011429	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000559	ENST00000313708	EBF_HUMAN	GS0001106	ENSG00000169575	22	22599087	22599927	Homo sapiens	ORegAnno	12606779	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000560	ENST00000341376	NFYA_HUMAN	GS0001110	ENSG00000172845	2	174771187	174830430	Homo sapiens	ORegAnno	16024108	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000560	ENST00000341376	NFYA_HUMAN	GS0001110	ENSG00000172845	2	174771187	174830430	Homo sapiens	ORegAnno	16024108	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000560	ENST00000341376	NFYA_HUMAN	GS0001110	ENSG00000172845	2	174771187	174830430	Homo sapiens	ORegAnno	16024108	RNA EXPRESSION ASSAY::RNASE PROTECTION ASSAY (RPA)
TF0000560	ENST00000341376	NFYA_HUMAN	GS0001341	ENSG00000075624	7	5566782	5603415	Homo sapiens	ORegAnno	1762920	REPORTER GENE ASSAY::RABBIT BETA-GLOBIN EXPRESSION ASSAY
TF0000560	ENST00000341376	NFYA_HUMAN	GS0001341	ENSG00000075624	7	5566782	5603415	Homo sapiens	ORegAnno	1762920	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000560	ENST00000341376	NFYA_HUMAN	GS0001341	ENSG00000075624	7	5566782	5603415	Homo sapiens	ORegAnno	1762920	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000560	ENST00000341376	NFYA_HUMAN	GS0001341	ENSG00000075624	7	5566782	5603415	Homo sapiens	ORegAnno	1762920	REPORTER GENE ASSAY::RABBIT BETA-GLOBIN EXPRESSION ASSAY
TF0000560	ENST00000341376	NFYA_HUMAN	GS0001341	ENSG00000075624	7	5566782	5603415	Homo sapiens	ORegAnno	1762920	REPORTER GENE ASSAY::RABBIT BETA-GLOBIN EXPRESSION ASSAY
TF0000561	ENSGALT00000010031	MYOD1_CHICKEN	GS0001120	ENSGALG00000002907	7	2758273	2775953	Gallus gallus	ORegAnno	1374396	REPORTER GENE ASSAY::CHLORAMPHENICOL ACETYLTRANSFERASE (CAT) ASSAY
TF0000561	ENSGALT00000010031	MYOD1_CHICKEN	GS0001120	ENSGALG00000002907	7	2758273	2775953	Gallus gallus	ORegAnno	1374396	REPORTER GENE ASSAY::CHLORAMPHENICOL ACETYLTRANSFERASE (CAT) ASSAY
TF0000561	ENSGALT00000010031	MYOD1_CHICKEN	GS0001120	ENSGALG00000002907	7	2758273	2775953	Gallus gallus	ORegAnno	1374396	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000561	ENSGALT00000010031	MYOD1_CHICKEN	GS0001305	ENSGALG00000000585	27	2744009	2749167	Gallus gallus	ORegAnno	1374396	REPORTER GENE ASSAY::CHLORAMPHENICOL ACETYLTRANSFERASE (CAT) ASSAY
TF0000561	ENSGALT00000010031	MYOD1_CHICKEN	GS0001305	ENSGALG00000000585	27	2744009	2749167	Gallus gallus	ORegAnno	1374396	REPORTER GENE ASSAY::CHLORAMPHENICOL ACETYLTRANSFERASE (CAT) ASSAY
TF0000562	ENSGALT00000010031	C-MYOD1_CHICKEN	GS0001122	ENSGALG00000009844	5	34611954	34616210	Gallus gallus	ORegAnno	8175685	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000562	ENSGALT00000010031	C-MYOD1_CHICKEN	GS0001122	ENSGALG00000009844	5	34611954	34616210	Gallus gallus	ORegAnno	8175685	UNKNOWN::UNKNOWN
TF0000562	ENSGALT00000010031	C-MYOD1_CHICKEN	GS0001122	ENSGALG00000009844	5	34611954	34616210	Gallus gallus	ORegAnno	8175685	UNKNOWN::UNKNOWN
TF0000563	ENSMUST00000043628	MITF_MOUSE	GS0001124	ENSMUSG00000004651	7	94574910	94641943	Mus musculus	ORegAnno	8707852	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000563	ENSMUST00000043628	MITF_MOUSE	GS0001124	ENSMUSG00000004651	7	94574910	94641943	Mus musculus	ORegAnno	8707852	MUTAGENESIS::SITE-DIRECTED
TF0000563	ENSMUST00000043628	MITF_MOUSE	GS0001124	ENSMUSG00000004651	7	94574910	94641943	Mus musculus	ORegAnno	8707852	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000563	ENSMUST00000043628	MITF_MOUSE	GS0001124	ENSMUSG00000004651	7	94574910	94641943	Mus musculus	ORegAnno	8707852	MUTAGENESIS::SITE-DIRECTED
TF0000563	ENSMUST00000043628	MITF_MOUSE	GS0001124	ENSMUSG00000004651	7	94574910	94641943	Mus musculus	ORegAnno	8707852	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000564	ENSMUST00000063750	RARB_MOUSE	GS0001129	ENSMUSG00000017491	14	17263356	17651381	Mus musculus	ORegAnno	2164682	REPORTER GENE ASSAY::IN-VIVO LACZ EXPRESSION ASSAY
TF0000564	ENSMUST00000063750	RARB_MOUSE	GS0001129	ENSMUSG00000017491	14	17263356	17651381	Mus musculus	ORegAnno	2164682	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000564	ENSMUST00000063750	RARB_MOUSE	GS0001129	ENSMUSG00000017491	14	17263356	17651381	Mus musculus	ORegAnno	2164682	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000564	ENSMUST00000063750	RARB_MOUSE	GS0001129	ENSMUSG00000017491	14	17263356	17651381	Mus musculus	ORegAnno	2164682	REPORTER GENE ASSAY::IN-VIVO LACZ EXPRESSION ASSAY
TF0000564	ENSMUST00000063750	RARB_MOUSE	GS0001129	ENSMUSG00000017491	14	17263356	17651381	Mus musculus	ORegAnno	2164682	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000564	ENSMUST00000063750	RARB_MOUSE	GS0001129	ENSMUSG00000017491	14	17263356	17651381	Mus musculus	ORegAnno	2164682	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000565	ENSMUST00000070642	CEBPB (C/EBP-BETA)_MOUSE	GS0001134	ENSMUSG00000020644	12	25778666	25780957	Mus musculus	ORegAnno	15809228	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000565	ENSMUST00000070642	CEBPB (C/EBP-BETA)_MOUSE	GS0001134	ENSMUSG00000020644	12	25778666	25780957	Mus musculus	ORegAnno	15809228	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000565	ENSMUST00000070642	CEBPB (C/EBP-BETA)_MOUSE	GS0001134	ENSMUSG00000020644	12	25778666	25780957	Mus musculus	ORegAnno	15809228	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000566	ENSMUST00000018005	MYBL2_MOUSE	GS0001136	ENSMUSG00000021789	14	41945071	41949741	Mus musculus	ORegAnno	10488087	REPORTER GENE ASSAY::CHLORAMPHENICOL ACETYLTRANSFERASE (CAT) ASSAY
TF0000566	ENSMUST00000018005	MYBL2_MOUSE	GS0001136	ENSMUSG00000021789	14	41945071	41949741	Mus musculus	ORegAnno	10488087	MUTAGENESIS::SITE-DIRECTED
TF0000566	ENSMUST00000018005	MYBL2_MOUSE	GS0001136	ENSMUSG00000021789	14	41945071	41949741	Mus musculus	ORegAnno	10488087	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000567	ENSMUST00000001326	SP1_MOUSE	GS0001139	ENSMUSG00000023328	5	137728747	137735694	Mus musculus	ORegAnno	7829523	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000567	ENSMUST00000001326	SP1_MOUSE	GS0001139	ENSMUSG00000023328	5	137728747	137735694	Mus musculus	ORegAnno	7829523	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000567	ENSMUST00000001326	SP1_MOUSE	GS0001139	ENSMUSG00000023328	5	137728747	137735694	Mus musculus	ORegAnno	7829523	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000567	ENSMUST00000001326	SP1_MOUSE	GS0001139	ENSMUSG00000023328	5	137728747	137735694	Mus musculus	ORegAnno	7829523	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000567	ENSMUST00000001326	SP1_MOUSE	GS0001139	ENSMUSG00000023328	5	137728747	137735694	Mus musculus	ORegAnno	7829523	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000567	ENSMUST00000001326	SP1_MOUSE	GS0001139	ENSMUSG00000023328	5	137728747	137735694	Mus musculus	ORegAnno	7829523	UNKNOWN::UNKNOWN
TF0000568	ENSMUST00000036215	FOXJ1_MOUSE	GS0001142	ENSMUSG00000024653	19	9158126	9162448	Mus musculus	ORegAnno	9096351	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000569	ENSMUST00000033429	MEF (ELF4)_MOUSE	GS0001147	ENSMUSG00000026459	1	136186581	136189124	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000569	ENSMUST00000033429	MEF (ELF4)_MOUSE	GS0001152	ENSMUSG00000030399	7	19996443	20006932	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000569	ENSMUST00000033429	MEF (ELF4)_MOUSE	GS0001152	ENSMUSG00000030399	7	19996443	20006932	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000570	ENSMUST00000031535	TCF1 (HNF1)_MOUSE	GS0001150	ENSMUSG00000029368	5	90889915	90905629	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000570	ENSMUST00000031535	TCF1 (HNF1)_MOUSE	GS0001166	ENSMUSG00000044393	18	20716575	20763022	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000571	ENSMUST00000015749	SRF_MOUSE	GS0001152	ENSMUSG00000030399	7	19996443	20006932	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000571	ENSMUST00000015749	SRF_MOUSE	GS0001155	ENSMUSG00000031972	8	126415669	126418651	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000571	ENSMUST00000015749	SRF_MOUSE	GS0001164	ENSMUSG00000040752	14	55560758	55585764	Mus musculus	ORegAnno	8782063	REPORTER GENE ASSAY::CHLORAMPHENICOL ACETYLTRANSFERASE (CAT) ASSAY
TF0000571	ENSMUST00000015749	SRF_MOUSE	GS0001164	ENSMUSG00000040752	14	55560758	55585764	Mus musculus	ORegAnno	8782063	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000571	ENSMUST00000015749	SRF_MOUSE	GS0001164	ENSMUSG00000040752	14	55560758	55585764	Mus musculus	ORegAnno	8782063	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000572	ENSMUST00000027797	NVL_MOUSE	GS0001152	ENSMUSG00000030399	7	19996443	20006932	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000573	ENSMUST00000023024	TEF_MOUSE	GS0001155	ENSMUSG00000031972	8	126415669	126418651	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000573	ENSMUST00000023024	TEF_MOUSE	GS0001164	ENSMUSG00000040752	14	55560758	55585764	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000573	ENSMUST00000023024	TEF_MOUSE	GS0001165	ENSMUSG00000041189	11	69597538	69609445	Mus musculus	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000574	ENSMUST00000014174	PAX5_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	10845919	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000574	ENSMUST00000014174	PAX5_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	10845919	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000574	ENSMUST00000014174	PAX5_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	10845919	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000574	ENSMUST00000014174	PAX5_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	11781241	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000574	ENSMUST00000014174	PAX5_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	11781241	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000574	ENSMUST00000014174	PAX5_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	11781241	PROTEIN BINDING ASSAY::DNA-PROTEIN PRECIPITATION ASSAY
TF0000575	ENSMUST00000102976	GATA3_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	10845919	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000575	ENSMUST00000102976	GATA3_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	10845919	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000576	ENSMUST00000020156	MYB_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	11781241	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000576	ENSMUST00000020156	MYB_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	11781241	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000576	ENSMUST00000020156	MYB_MOUSE	GS0001157	ENSMUSG00000032864	2	101464875	101472685	Mus musculus	ORegAnno	11781241	PROTEIN BINDING ASSAY::DNA-PROTEIN PRECIPITATION ASSAY
